"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL1081312";"";"None";"319.37";"0";"3.07";"PP121";"Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1";"Inhibition";"'='";"9.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1244280";"Inhibition of ROS1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240340";"1";"Scientific Literature";"Nat Chem Biol";"2008";"None";"";""
"CHEMBL939";"GEFITINIB";"4.0";"446.91";"0";"4.28";"Gefitinib";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1061925";"Binding constant for ROS1 kinase domain";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150977";"1";"Scientific Literature";"Nat Biotechnol";"2008";"None";"";""
"CHEMBL1721885";"SU-014813";"2.0";"442.49";"0";"1.69";"SU-14813";"Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1061925";"Binding constant for ROS1 kinase domain";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150977";"1";"Scientific Literature";"Nat Biotechnol";"2008";"None";"";""
"CHEMBL282342";"";"None";"335.46";"0";"3.51";"12";"CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1";"Activity";"";"";"";"";"";"Not Evaluated";"";"";"";"";"";"0";"CHEMBL1035900";"Binding affinity to human ROS at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151712";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL476351";"GW775608X";"None";"470.57";"0";"4.29";"GW775608X";"Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1";"Inhibition";"'='";"0.48";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962169";"GSK_PKIS: ROS mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";""
"CHEMBL1163518";"";"None";"514.98";"2";"6.48";"5k";"O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1166848";"Inhibition of ROS1 at 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1165965";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL76589";"";"None";"236.23";"0";"1.56";"Tyrphostin AG-112";"N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1";"Residual Activity";"'='";"95.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219159";"Millipore: Percentage of residual kinase activity of ROS1 at 1uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL483847";"";"None";"374.32";"0";"3.88";"GNF_2";"NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1";"Residual Activity";"'='";"110.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219159";"Millipore: Percentage of residual kinase activity of ROS1 at 1uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL2218934";"";"None";"257.27";"0";"1.95";"PI3_Kg_Inhibitor";"O=C1NC(=O)/C(=C\c2ccc3nccnc3c2)S1";"Residual Activity";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219159";"Millipore: Percentage of residual kinase activity of ROS1 at 1uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL77456";"TYRPHOSTIN 1";"None";"184.20";"0";"2.13";"Tyrphostin_A1";"COc1ccc(C=C(C#N)C#N)cc1";"Residual Activity";"'='";"98.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219160";"Millipore: Percentage of residual kinase activity of ROS1 at 10uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
